instruction,qubits,duration,error
rzz,135;134,6.8e-08,0.0018548242478915455
rzz,135;139,6.8e-08,0.0010420240657371682
rzz,136;123,6.8e-08,0.0007588336743123703
rzz,136;143,6.8e-08,0.0026661405216187872
rzz,137;127,6.8e-08,0.001132767880707708
rzz,137;147,6.8e-08,0.006163426789905058
rzz,138;131,6.8e-08,0.0018652066913447674
rzz,138;151,6.8e-08,0.0009264550848614161
rzz,139;135,6.8e-08,0.0010420240657371682
rzz,139;155,6.8e-08,0.0010612938760147794
rzz,140;141,1.32e-07,0.0037386442756437432
rzz,141;140,1.32e-07,0.0037386442756437432
rzz,141;142,1.92e-07,0.009591346421526314
rzz,142;141,1.92e-07,0.009591346421526314
rzz,142;143,6.8e-08,0.002193481144535492
rzz,143;136,6.8e-08,0.0026661405216187872
rzz,143;142,6.8e-08,0.002193481144535492
rzz,143;144,6.8e-08,0.0036115655051669193
rzz,144;143,6.8e-08,0.0036115655051669193
rzz,144;145,6.8e-08,0.0007845431266668978
rzz,145;144,6.8e-08,0.0007845431266668978
rzz,145;146,1.32e-07,1.0
rzz,146;145,1.32e-07,1.0
rzz,146;147,6.8e-08,0.001649318200291211
rzz,147;137,6.8e-08,0.006163426789905058
rzz,147;146,6.8e-08,0.001649318200291211
rzz,147;148,6.8e-08,0.003348547343100111
rzz,148;147,6.8e-08,0.003348547343100111
rzz,148;149,6.8e-08,0.0013836890715261396
rzz,149;148,6.8e-08,0.0013836890715261396
rzz,149;150,6.8e-08,0.0012347985051963384
rzz,150;149,6.8e-08,0.0012347985051963384
rzz,150;151,6.8e-08,0.0010194813636611455
rzz,151;138,6.8e-08,0.0009264550848614161
rzz,151;150,6.8e-08,0.0010194813636611455
rzz,151;152,6.8e-08,0.0011081984909595832
rzz,152;151,6.8e-08,0.0011081984909595832
rzz,152;153,6.8e-08,1.0
rzz,153;152,6.8e-08,1.0
rzz,153;154,6.8e-08,1.0
rzz,154;153,6.8e-08,1.0
rzz,154;155,6.8e-08,0.001339990796946633
rzz,155;139,6.8e-08,0.0010612938760147794
rzz,155;154,6.8e-08,0.001339990796946633
rx,0,3.2e-08,0.0001654943325514319
rx,1,3.2e-08,0.0001313048506038872
rx,2,3.2e-08,0.00014168160537988433
rx,3,3.2e-08,0.0003098312296847854
rx,4,3.2e-08,0.0001137774674650683
rx,5,3.2e-08,0.00012812257009460997
rx,6,3.2e-08,0.00014517677661665302
rx,7,3.2e-08,0.0002003554020170063
rx,8,3.2e-08,0.00010220266456553789
rx,9,3.2e-08,0.00010426958053632611
rx,10,3.2e-08,0.00016480617992580316
rx,11,3.2e-08,0.00021327135435533063
rx,12,3.2e-08,0.0001476879207514291
rx,13,3.2e-08,0.0005767301169716709
rx,14,3.2e-08,0.00025094287425967196
rx,15,3.2e-08,9.186142795040613e-05
rx,16,3.2e-08,0.00020951488108444084
rx,17,3.2e-08,0.00020730830340502757
rx,18,3.2e-08,0.00018493160794501195
rx,19,3.2e-08,0.00011419277206679077
rx,20,3.2e-08,0.00019587113137869253
rx,21,3.2e-08,0.00019531492645910478
rx,22,3.2e-08,0.00019004706981625734
rx,23,3.2e-08,0.00038311973029510023
rx,24,3.2e-08,0.00014500935669311301
rx,25,3.2e-08,8.615144951115009e-05
rx,26,3.2e-08,0.0003266453362033145
rx,27,3.2e-08,0.00015416950145424595
rx,28,3.2e-08,0.0001300693324731237
rx,29,3.2e-08,0.00027894915821795595
rx,30,3.2e-08,0.00026645009768207884
rx,31,3.2e-08,0.0002011294221137798
rx,32,3.2e-08,0.00026357073340846403
rx,33,3.2e-08,0.00017357581084490107
rx,34,3.2e-08,0.00013232960683572873
rx,35,3.2e-08,0.00023801780612320563
rx,36,3.2e-08,0.00014886651230451906
rx,37,3.2e-08,0.00022240808952361942
rx,38,3.2e-08,0.00017994449207405557
rx,39,3.2e-08,0.00022126635454713107
rx,40,3.2e-08,0.00013646934466905663
rx,41,3.2e-08,0.00054014918505329
rx,42,3.2e-08,0.00029063393822070425
rx,43,3.2e-08,0.00010986390230361251
rx,44,3.2e-08,0.0004135076046721758
rx,45,3.2e-08,0.0007462638256481187
rx,46,3.2e-08,0.001679852116215432
rx,47,3.2e-08,0.00015480621485567306
rx,48,3.2e-08,0.00022596197514805202
rx,49,3.2e-08,0.00012265945172477017
rx,50,3.2e-08,0.00020095674367183483
rx,51,3.2e-08,0.00019941402145370342
rx,52,3.2e-08,0.00025100794145231615
rx,53,3.2e-08,0.0001840673563074511
rx,54,3.2e-08,0.0003411199857538489
rx,55,3.2e-08,0.0002904857806565162
rx,56,3.2e-08,0.00013582290396832314
rx,57,3.2e-08,0.0005203063485660597
rx,58,3.2e-08,0.0002465571804739951
rx,59,3.2e-08,0.00033158512822931466
rx,60,3.2e-08,0.0001879171650526641
rx,61,3.2e-08,0.00013160160683851397
rx,62,3.2e-08,0.03007161855527973
rx,63,3.2e-08,0.00036495271993467116
rx,64,3.2e-08,0.00028247361214735314
rx,65,3.2e-08,0.00018326681792302048
rx,66,3.2e-08,0.0001061256390503815
rx,67,3.2e-08,0.00018444301182789886
rx,68,3.2e-08,0.0002304961269345952
rx,69,3.2e-08,0.00017917288573307338
rx,70,3.2e-08,0.0005290322247229186
rx,71,3.2e-08,0.00010407592343978591
rx,72,3.2e-08,0.00012362088988714925
rx,73,3.2e-08,0.00016643869974190307
rx,74,3.2e-08,0.000196963975576236
rx,75,3.2e-08,0.0001683190997011283
rx,76,3.2e-08,0.000252091007583293
rx,77,3.2e-08,0.0002681591626588142
rx,78,3.2e-08,0.0002174918799768607
rx,79,3.2e-08,0.0001469700967563252
rx,80,3.2e-08,0.000165512053218505
rx,81,3.2e-08,0.00022949004288290418
rx,82,3.2e-08,0.0008837942136319531
rx,83,3.2e-08,0.0006192559076423131
rx,84,3.2e-08,0.0003376715128522884
rx,85,3.2e-08,0.0001388104404268489
rx,86,3.2e-08,0.00018062903456131062
rx,87,3.2e-08,0.00030654696760320203
rx,88,3.2e-08,0.00033734085163677704
rx,89,3.2e-08,0.00023199978572232418
rx,90,3.2e-08,0.00021370617023242267
rx,91,3.2e-08,0.000133560889361736
rx,92,3.2e-08,0.00029715960131079886
rx,93,3.2e-08,0.00039733307843821473
rx,94,3.2e-08,0.0001450616658739706
rx,95,3.2e-08,0.0003375076252228794
rx,96,3.2e-08,0.0002532350312093465
rx,97,3.2e-08,0.00027953941065198386
rx,98,3.2e-08,0.0002643897372002852
rx,99,3.2e-08,0.0002896959915554472
rx,100,3.2e-08,0.00018671576016662507
rx,101,3.2e-08,0.00013838158811200753
rx,102,3.2e-08,0.00040495107503818294
rx,103,3.2e-08,0.00020098138134956237
rx,104,3.2e-08,0.00014699785572950335
rx,105,3.2e-08,0.002456888067658013
rx,106,3.2e-08,0.00019993000290044943
rx,107,3.2e-08,0.0003107727425297368
rx,108,3.2e-08,0.00019961962891951082
rx,109,3.2e-08,0.00023112877047208396
rx,110,3.2e-08,0.00029917050954486184
rx,111,3.2e-08,0.00010216854104099525
rx,112,3.2e-08,0.00013641919379856957
rx,113,3.2e-08,0.00010442592026035198
rx,114,3.2e-08,0.000259973140726357
rx,115,3.2e-08,0.00010757426083136766
rx,116,3.2e-08,0.0006785013326942471
rx,117,3.2e-08,0.00038771601682832907
rx,118,3.2e-08,0.00019873792874308623
rx,119,3.2e-08,0.0002631434649868466
rx,120,3.2e-08,0.0002697768175041524
rx,121,3.2e-08,0.00026169975321877907
rx,122,3.2e-08,0.00016456820381918327
rx,123,3.2e-08,0.00024075346910069293
rx,124,3.2e-08,0.0004398584881549302
rx,125,3.2e-08,0.00019192884917826325
rx,126,3.2e-08,0.00016067590216127411
rx,127,3.2e-08,0.00015496111890350703
rx,128,3.2e-08,0.00020871989829436826
rx,129,3.2e-08,0.0003715224788748616
rx,130,3.2e-08,0.0002542302615864956
rx,131,3.2e-08,0.00029963918841305874
rx,132,3.2e-08,0.00013252043120314436
rx,133,3.2e-08,0.00022057988232551193
rx,134,3.2e-08,0.00026406703322469523
rx,135,3.2e-08,0.0003282891601416387
rx,136,3.2e-08,9.977400656016379e-05
rx,137,3.2e-08,0.000181342434586181
rx,138,3.2e-08,0.00027146656500980006
rx,139,3.2e-08,0.00014112209655112412
rx,140,3.2e-08,0.0001651111815184341
rx,141,3.2e-08,0.0002155246806990944
rx,142,3.2e-08,0.00024502226906553094
rx,143,3.2e-08,0.0006634740746041158
rx,144,3.2e-08,0.0010383038339926685
rx,145,3.2e-08,0.0001545877832668313
rx,146,3.2e-08,8.371608924499914e-05
rx,147,3.2e-08,0.0002040715418946082
rx,148,3.2e-08,0.00013607750157372623
rx,149,3.2e-08,0.00011151930360435195
rx,150,3.2e-08,0.00033906752373762263
rx,151,3.2e-08,0.00017689214075465126
rx,152,3.2e-08,0.00015177277833111884
rx,153,3.2e-08,9.54616151722827e-05
rx,154,3.2e-08,0.0004030526454989528
rx,155,3.2e-08,0.00016948657445183682
cz,0;1,6.8e-08,0.0011255888854611873
cz,1;0,6.8e-08,0.0011255888854611873
cz,1;2,1.08e-07,0.0021687882508052425
cz,2;1,1.08e-07,0.0021687882508052425
cz,2;3,1.08e-07,0.002344280857603742
cz,3;2,1.08e-07,0.002344280857603742
cz,3;4,6.8e-08,0.008876215034204105
cz,3;16,6.8e-08,0.006412650742087855
cz,4;3,6.8e-08,0.008876215034204105
cz,4;5,6.8e-08,0.002206782157391951
cz,5;4,6.8e-08,0.002206782157391951
cz,5;6,6.8e-08,0.0007854120185106228
cz,6;5,6.8e-08,0.0007854120185106228
cz,6;7,6.8e-08,0.0008186684127160226
cz,7;6,6.8e-08,0.0008186684127160226
cz,7;8,2.08e-07,0.0017749408886218454
cz,7;17,6.8e-08,0.002434287199920837
cz,8;7,2.08e-07,0.0017749408886218454
cz,8;9,6.8e-08,0.0010570808591583158
cz,9;8,6.8e-08,0.0010570808591583158
cz,9;10,6.8e-08,0.0012166599251781096
cz,10;9,6.8e-08,0.0012166599251781096
cz,10;11,6.8e-08,0.0013953273124559518
cz,11;10,6.8e-08,0.0013953273124559518
cz,11;12,6.8e-08,0.0011185298168697733
cz,11;18,6.8e-08,0.027909484685610914
cz,12;11,6.8e-08,0.0011185298168697733
cz,12;13,6.8e-08,0.0008450608778060031
cz,13;12,6.8e-08,0.0008450608778060031
cz,13;14,6.8e-08,0.0011458945925791886
cz,14;13,6.8e-08,0.0011458945925791886
cz,14;15,6.8e-08,0.0013493078784561074
cz,15;14,6.8e-08,0.0013493078784561074
cz,15;19,6.8e-08,0.0021185136099909907
cz,16;3,6.8e-08,0.006412650742087855
cz,16;23,6.8e-08,0.002976583488684015
cz,17;7,6.8e-08,0.002434287199920837
cz,17;27,6.8e-08,0.0009751969460805032
cz,18;11,6.8e-08,0.027909484685610914
cz,18;31,6.8e-08,0.005758620927559022
cz,19;15,6.8e-08,0.0021185136099909907
cz,19;35,6.8e-08,0.0017071294544648563
cz,20;21,6.8e-08,0.0013760560666665478
cz,21;20,6.8e-08,0.0013760560666665478
cz,21;22,9.6e-08,0.001307620919549446
cz,21;36,6.8e-08,0.0009786975977569556
cz,22;21,9.6e-08,0.001307620919549446
cz,22;23,6.8e-08,0.00644758921990074
cz,23;16,6.8e-08,0.002976583488684015
cz,23;22,6.8e-08,0.00644758921990074
cz,23;24,6.8e-08,0.00594817438137224
cz,24;23,6.8e-08,0.00594817438137224
cz,24;25,6.8e-08,0.0017812250738894198
cz,25;24,6.8e-08,0.0017812250738894198
cz,25;26,6.8e-08,0.0015911779653772495
cz,25;37,6.8e-08,0.004531568025126359
cz,26;25,6.8e-08,0.0015911779653772495
cz,26;27,6.8e-08,0.004461238327981815
cz,27;17,6.8e-08,0.0009751969460805032
cz,27;26,6.8e-08,0.004461238327981815
cz,27;28,6.8e-08,0.001334770864249879
cz,28;27,6.8e-08,0.001334770864249879
cz,28;29,6.8e-08,0.004537782193119871
cz,29;28,6.8e-08,0.004537782193119871
cz,29;30,6.8e-08,0.004364065630454966
cz,29;38,6.8e-08,0.0016785773046491537
cz,30;29,6.8e-08,0.004364065630454966
cz,30;31,6.8e-08,0.0032321952549084487
cz,31;18,6.8e-08,0.005758620927559022
cz,31;30,6.8e-08,0.0032321952549084487
cz,31;32,8e-08,0.002474180887536953
cz,32;31,8e-08,0.002474180887536953
cz,32;33,6.8e-08,0.019116829964047122
cz,33;32,6.8e-08,0.019116829964047122
cz,33;34,6.8e-08,0.0009680609081982317
cz,33;39,6.8e-08,0.0027123186321924286
cz,34;33,6.8e-08,0.0009680609081982317
cz,34;35,6.8e-08,0.0010249345029054724
cz,35;19,6.8e-08,0.0017071294544648563
cz,35;34,6.8e-08,0.0010249345029054724
cz,36;21,6.8e-08,0.0009786975977569556
cz,36;41,6.8e-08,0.0010483848183030775
cz,37;25,6.8e-08,0.004531568025126359
cz,37;45,6.8e-08,0.004669859235620799
cz,38;29,6.8e-08,0.0016785773046491537
cz,38;49,6.8e-08,0.0023379160523076814
cz,39;33,6.8e-08,0.0027123186321924286
cz,39;53,6.8e-08,0.0009760581562104631
cz,40;41,6.8e-08,0.005308465874755641
cz,41;36,6.8e-08,0.0010483848183030775
cz,41;40,6.8e-08,0.005308465874755641
cz,41;42,6.8e-08,0.0015982917329068758
cz,42;41,6.8e-08,0.0015982917329068758
cz,42;43,6.8e-08,0.0019265415966166488
cz,43;42,6.8e-08,0.0019265415966166488
cz,43;44,6.8e-08,0.0009472005081821167
cz,43;56,6.8e-08,0.0012748422790710423
cz,44;43,6.8e-08,0.0009472005081821167
cz,44;45,6.8e-08,0.004330850639109124
cz,45;37,6.8e-08,0.004669859235620799
cz,45;44,6.8e-08,0.004330850639109124
cz,45;46,6.8e-08,0.0069310233639306995
cz,46;45,6.8e-08,0.0069310233639306995
cz,46;47,6.8e-08,0.005309823062005475
cz,47;46,6.8e-08,0.005309823062005475
cz,47;48,6.8e-08,0.01809670790856463
cz,47;57,6.8e-08,0.002027664780008015
cz,48;47,6.8e-08,0.01809670790856463
cz,48;49,6.8e-08,0.000745340744394668
cz,49;38,6.8e-08,0.0023379160523076814
cz,49;48,6.8e-08,0.000745340744394668
cz,49;50,6.8e-08,0.029397414780260894
cz,50;49,6.8e-08,0.029397414780260894
cz,50;51,6.8e-08,0.002098373127732117
cz,51;50,6.8e-08,0.002098373127732117
cz,51;52,6.8e-08,0.0019682460619391273
cz,51;58,6.8e-08,0.0009142603111123582
cz,52;51,6.8e-08,0.0019682460619391273
cz,52;53,6.8e-08,0.003044772324523576
cz,53;39,6.8e-08,0.0009760581562104631
cz,53;52,6.8e-08,0.003044772324523576
cz,53;54,6.8e-08,0.0007971812000942546
cz,54;53,6.8e-08,0.0007971812000942546
cz,54;55,6.8e-08,0.003752549788968884
cz,55;54,6.8e-08,0.003752549788968884
cz,55;59,6.8e-08,0.006581733480813118
cz,56;43,6.8e-08,0.0012748422790710423
cz,56;63,6.8e-08,0.001682618765383559
cz,57;47,6.8e-08,0.002027664780008015
cz,57;67,6.8e-08,0.0014487378202305556
cz,58;51,6.8e-08,0.0009142603111123582
cz,58;71,6.8e-08,0.0010511969035289226
cz,59;55,6.8e-08,0.006581733480813118
cz,59;75,6.8e-08,0.0012288066908091866
cz,60;61,6.8e-08,0.0012709813015631677
cz,61;60,6.8e-08,0.0012709813015631677
cz,61;62,6.8e-08,0.1094364456507318
cz,61;76,6.8e-08,0.0022306433308745266
cz,62;61,6.8e-08,0.1094364456507318
cz,62;63,6.8e-08,0.12951055587512414
cz,63;56,6.8e-08,0.001682618765383559
cz,63;62,6.8e-08,0.12951055587512414
cz,63;64,8e-08,0.0016586949976605259
cz,64;63,8e-08,0.0016586949976605259
cz,64;65,6.8e-08,0.0018556046194751485
cz,65;64,6.8e-08,0.0018556046194751485
cz,65;66,1e-07,0.0009408275171348957
cz,65;77,6.8e-08,0.0011414488297580572
cz,66;65,1e-07,0.0009408275171348957
cz,66;67,6.8e-08,0.0010888077334987034
cz,67;57,6.8e-08,0.0014487378202305556
cz,67;66,6.8e-08,0.0010888077334987034
cz,67;68,6.8e-08,0.001583946713209855
cz,68;67,6.8e-08,0.001583946713209855
cz,68;69,6.8e-08,0.00275664849564497
cz,69;68,6.8e-08,0.00275664849564497
cz,69;70,6.8e-08,0.002383865777446842
cz,69;78,6.8e-08,0.0012492296589927954
cz,70;69,6.8e-08,0.002383865777446842
cz,70;71,6.8e-08,0.0019419391283685972
cz,71;58,6.8e-08,0.0010511969035289226
cz,71;70,6.8e-08,0.0019419391283685972
cz,71;72,6.8e-08,0.0009940999882767088
cz,72;71,6.8e-08,0.0009940999882767088
cz,72;73,6.8e-08,0.001128097657567162
cz,73;72,6.8e-08,0.001128097657567162
cz,73;74,6.8e-08,0.00134512581232904
cz,73;79,6.8e-08,0.004217998881686863
cz,74;73,6.8e-08,0.00134512581232904
cz,74;75,6.8e-08,0.005556380117523185
cz,75;59,6.8e-08,0.0012288066908091866
cz,75;74,6.8e-08,0.005556380117523185
cz,76;61,6.8e-08,0.0022306433308745266
cz,76;81,6.8e-08,0.001350663995640905
cz,77;65,6.8e-08,0.0011414488297580572
cz,77;85,6.8e-08,0.01214985603745361
cz,78;69,6.8e-08,0.0012492296589927954
cz,78;89,6.8e-08,0.001395077018688906
cz,79;73,6.8e-08,0.004217998881686863
cz,79;93,6.8e-08,0.006044688274162241
cz,80;81,6.8e-08,0.0016513348609751566
cz,81;76,6.8e-08,0.001350663995640905
cz,81;80,6.8e-08,0.0016513348609751566
cz,81;82,6.8e-08,0.0016257032735724486
cz,82;81,6.8e-08,0.0016257032735724486
cz,82;83,6.8e-08,0.002039255689257169
cz,83;82,6.8e-08,0.002039255689257169
cz,83;84,6.8e-08,0.0022345477398978686
cz,83;96,6.8e-08,0.0027495073213614774
cz,84;83,6.8e-08,0.0022345477398978686
cz,84;85,6.8e-08,0.004262902115954731
cz,85;77,6.8e-08,0.01214985603745361
cz,85;84,6.8e-08,0.004262902115954731
cz,85;86,6.8e-08,0.011199379576117996
cz,86;85,6.8e-08,0.011199379576117996
cz,86;87,6.8e-08,0.004457618716293105
cz,87;86,6.8e-08,0.004457618716293105
cz,87;88,6.8e-08,0.001372913645790036
cz,87;97,6.8e-08,0.0025363076231754433
cz,88;87,6.8e-08,0.001372913645790036
cz,88;89,6.8e-08,0.0018113093139325576
cz,89;78,6.8e-08,0.001395077018688906
cz,89;88,6.8e-08,0.0018113093139325576
cz,89;90,6.8e-08,0.00146769512275291
cz,90;89,6.8e-08,0.00146769512275291
cz,90;91,6.8e-08,0.0036035704613014696
cz,91;90,6.8e-08,0.0036035704613014696
cz,91;92,1.08e-07,0.001894353848088115
cz,91;98,2.08e-07,0.0028055557731392344
cz,92;91,1.08e-07,0.001894353848088115
cz,92;93,6.8e-08,0.001460925893255055
cz,93;79,6.8e-08,0.006044688274162241
cz,93;92,6.8e-08,0.001460925893255055
cz,93;94,6.8e-08,0.004699959541034471
cz,94;93,6.8e-08,0.004699959541034471
cz,94;95,6.8e-08,0.0017432218865630345
cz,95;94,6.8e-08,0.0017432218865630345
cz,95;99,6.8e-08,0.001222134194776403
cz,96;83,6.8e-08,0.0027495073213614774
cz,96;103,6.8e-08,0.005612660366516614
cz,97;87,6.8e-08,0.0025363076231754433
cz,97;107,6.8e-08,0.002932169286595565
cz,98;91,2.08e-07,0.0028055557731392344
cz,98;111,6.8e-08,0.0021183493977445234
cz,99;95,6.8e-08,0.001222134194776403
cz,99;115,6.8e-08,0.015717163225050373
cz,100;101,6.8e-08,0.0009951634137257415
cz,101;100,6.8e-08,0.0009951634137257415
cz,101;102,6.8e-08,0.001717482241463536
cz,101;116,6.8e-08,0.0008737956288479287
cz,102;101,6.8e-08,0.001717482241463536
cz,102;103,6.8e-08,0.0018326447508060228
cz,103;96,6.8e-08,0.005612660366516614
cz,103;102,6.8e-08,0.0018326447508060228
cz,103;104,6.8e-08,0.001037852933866018
cz,104;103,6.8e-08,0.001037852933866018
cz,104;105,6.8e-08,0.0010258330587576137
cz,105;104,6.8e-08,0.0010258330587576137
cz,105;106,9.2e-08,0.009374973584922924
cz,105;117,6.8e-08,0.0017430074520938532
cz,106;105,9.2e-08,0.009374973584922924
cz,106;107,6.8e-08,0.0030118610293083936
cz,107;97,6.8e-08,0.002932169286595565
cz,107;106,6.8e-08,0.0030118610293083936
cz,107;108,6.8e-08,0.0012796830284856064
cz,108;107,6.8e-08,0.0012796830284856064
cz,108;109,6.8e-08,0.0015192662123376666
